,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlet,DVR,Serial Number,Local IP,Port,MAC Address,Version,Device Type,Device Model,Build,Power Adapter/Cord,Video Input,Total Channel,NIC Speed,HDD Total Space,Hardware Version,Software Version,System version,Web version,ONVIFServer version,ONVIFClient version,SecurityBaseline Version,Firmware Version,Location,Warranty,Hybrid,WIP,P2P QR,,,
JSM,1,BE03CF7PAJ98810,192.168.1.3,37777,e0:2e:fe:56:c5:d4,Chinese,NVR,DH-NVR4432-HDS3/I,24-02-25,250.0V 13.0A,32,32,300Mbps,16TB,V1.0,V4.005.0000001.1.R,V4.005.0000001.1.R,V5.22.0.250213.10305196,23.12(V3.1.0.1734191),V2.4.1,V2.4,,in the server room,,,,,,,
JSM,2,BE03CF7PAJ7453F,192.168.1.4,37780,e0:2e:fe:56:c5:be,Chinese,NVR,DH-NVR4432-HDS3/I,24-02-25,250.0V 13.0A,32,32,300Mbps,16TB,V1.0,V4.005.0000001.1.R,V4.005.0000001.1.R,V5.22.0.250213.10305196,23.12(V3.1.0.1734191),V2.4.1,V2.4,,in the server room,,,,,,,
MLM,1,4G05FEDPBQ1A8D4,192.168.1.3,37777,38:AF:29:A5:2F:85,English,HCVR,DH-XVR4116HS-X,23-08-18,12.0V 2.0A,16,16/24,300Mbps,4TB,V1.0,4.000.0000001.9,4.000.0000001.9,3.2.7.101581,16.12(V1.2.2.596777),NULL,V1.2,,in the office room,,,,,,,
MLM,2,4G05FEDPBQ25BE1,192.168.1.4,37780,38:AF:29:A5:2F:8B,English,HCVR,DH-XVR4116HS-X,23-08-18,12.0V 2.0A,16,16/24,300Mbps,4TB,V1.0,4.000.0000001.9,4.000.0000001.9,3.2.7.101581,16.12(V1.2.2.596777),NULL,V1.2,,in the office room,,,,,,,
MLM,3,8D04456PAZ067A4,192.168.1.5,37781,E4:24:6C:99:6B:F2,English,HCVR,DH-XVR5216AN-13,30-06-22,12.0V 4.0A,16,16/24,300Mbps,4TB,V1.0,V4.001.0000001.5.R,V4.001.0000001.5.R,V3.2.7.13717946,21.06(V3.1.0.1181751),NULL,V2.2,,in the office room,,,,,,,
MLM,4,AG0E289PAZ1A409,192.168.1.7,37782,f8:ce:07:3f:26:0f,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,29,32/48,300Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240719.1079824,V5.21.0.240719.1079824,V2.4.1,V2.4,,in the office room,,,,,,,
PBK,1,5E06851PAZA60BB,192.168.1.3,37777,9C:14:63:E4:3B:E7,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 2.0A,16,16/24,300Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,in the office room,,,,,,,
PBK,2,5E06851PAZB0BAF,192.168.1.4,37780,9C:14:63:E4:3B:EA,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 2.0A,16,16/24,300Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,in the office room,,,,,,,
PBK,3,6J00AFEPAZED754,192.168.1.5,37781,BC:32:5F:72:A5:C6,English,HCVR,DH-XVR7216A-4KL-I,28-02-20,12.0V 5.0A,16,16/32,300Mbps,4TB,v1.0,V4.001.0000000.3,V4.001.0000000.3,V3.2.7.126721,16.12(V1.2.3.728802),NULL,V2.1,,in the office room,,,,,,,
PBK,4,AG0E289PAZ2E036,192.168.1.6,37782,f8:ce:07:3f:26:07,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-02-20,250.0V 13.0A,,32/48,300Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,in the office room,,,,,,,
PJR,1,5E0526CPAZ9EA6D,192.168.1.3,37777,9C:14:63:FD:C1:74,English,DVR,DH-XVR1B16H,02-04-19,12.0V 2.0A,16,16/24,100Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,in the server room,,,,,,,
PJR,2,5E09C17PAZ0E2E0,192.168.1.4,37780,A0:BD:1D:03:5E:BA,English,DVR,DH-XVR1B16H,02-04-19,12.0V 5.0A,16,16/24,100Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,in the server room,,,,,,,
PJR,3,AG0E289PAZ2B933,192.168.1.6,37782,f8:ce:07:3f:25:fa,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,24,32/48,100Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,in the server room,,,,,,,
PPM,1,3K0325FPAZF80C5,192.168.1.31,37777,14:A7:8B:9B:F0:FD,English,DVR,DHI-XVR4116HS-S2,29-12-17,12.0V 2.0A,16,16/24,300Mbps,2TB,,,,,,,,,,,,,,,,
PPM,2,3K0325FPAZF182A,192.168.1.32,37780,14:A7:8B:9B:F0:E5,English,DVR,DHI-XVR4116HS-S2,29-12-17,12.0V 5.0A,16,16/24,300Mbps,4TB,,,,,,,,,,,,,,,,
PPM,3,5F0306APAZ07482,192.168.1.33,37781,A0:BD:1D:10:92:C3,English,DVR,DH-XVR1B16H,02-04-19,12.0V 5.0A,16,16/24,300Mbps,4TB,,,,,,,,,,,,,,,,
PPM,4,,,37782,,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,,32/48,300Mbps,16TB,,,,,,,,,,,,,,,,
PSL,1,5C03122PAZ7B5E7,192.168.1.3,37777,9C:14:63:90:79:01,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 2.0A,16,16/24,100Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,back of the office,,,,,,,
